Reaction name	!	Stoichiometry	!	Enzyme discription	!	Compartment	!	Subsystem(Pathway)	!	Gene
HEPT4	!	ADPHEP_LD + GGGAGICOLIPA -> ADP + COLIPA + H	!	heptosyltransferase IV (LPS core synthesis)	!	Cytosol	!	Lipopolysaccharide Biosynthesis / Recycling	!	b3623
HETZK	!	4MHETZ + ATP -> 4MPETZ + ADP + H	!	hydroxyethylthiazole kinase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b2104
HEX1	!	ATP + GLC_D -> ADP + G6P + H	!	hexokinase (D-glucose:ATP)	!	Cytosol	!	Glycolysis/Gluconeogenesis	!	b2388
HEX4	!	ATP + MAN -> ADP + H + MAN6P	!	hexokinase (D-mannose:ATP)	!	Cytosol	!	Alternate Carbon Metabolism	!	Unknown
HEX7	!	ATP + FRU -> ADP + F6P + H	!	hexokinase (D-fructose:ATP)	!	Cytosol	!	Alternate Carbon Metabolism	!	b0394
HEXt2rpp	!	H_P  + HXA_P  <-> H_C  + HXA_C	!	hexanoate transport via proton symport, reversible (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2223
HG2abcpp	!	ATP_C  + H2O_C  + HG2_C  -> ADP_C  + H_C  + HG2_P  + PI_C	!	Mercury (Hg+2) ABC transporter (periplasm)	!	Intercompartmental	!	Inorganic Ion Transport and Metabolism	!	b3469
HG2t3pp	!	H_P  + HG2_C  -> H_C  + HG2_P	!	mercury (Hg+2) transport out via proton antiport (periplasm)	!	Intercompartmental	!	Inorganic Ion Transport and Metabolism	!	b3915
HG2tex	!	HG2_E  <-> HG2_P	!	mercury (Hg+2) transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
HISabcpp	!	ATP_C  + H2O_C  + HIS_L_P  -> ADP_C  + H_C  + HIS_L_C  + PI_C	!	L-histidine transport via ABC system (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	( b2309  &&  b2307  &&  b2306  &&  b2308 )
HISt2rpp	!	H_P  + HIS_L_P  <-> H_C  + HIS_L_C	!	L-histidine reversible transport via proton symport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b0112
HISTD	!	H2O + HISTD + 2* NAD -> 3* H + HIS_L + 2* NADH	!	histidinol dehydrogenase	!	Cytosol	!	Histidine Metabolism	!	b2020
HIStex	!	HIS_L_E  <-> HIS_L_P	!	L-histidine transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
HISTP	!	H2O + HISP -> HISTD + PI	!	histidinol-phosphatase	!	Cytosol	!	Histidine Metabolism	!	b2022
HISTRS	!	ATP + HIS_L + TRNAHIS -> AMP + HISTRNA + PPI	!	Histidyl-tRNA synthetase	!	Cytosol	!	tRNA Charging	!	b2514
HKNDDH	!	H2O + HKNDD -> H + OP4EN + SUCC	!	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase	!	Cytosol	!	Alternate Carbon Metabolism	!	b0349
HKNTDH	!	H2O + HKNTD -> FUM + H + OP4EN	!	2-hydroxy-6-ketononotrienedioate hydrolase	!	Cytosol	!	Alternate Carbon Metabolism	!	b0349
HMBS	!	H2O + 4* PPBNG -> HMBIL + 4* NH4	!	hydroxymethylbilane synthase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b3805
HMPK1	!	4AHMMP + ATP -> 4AMPM + ADP + H	!	hydroxymethylpyrimidine kinase (ATP)	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	( b2103  ||  b2418 )
HOMt2pp	!	H_P  + HOM_L_C  -> H_C  + HOM_L_P	!	L-homoserineserine efflux via proton symport	!	Intercompartmental	!	Transport, Inner Membrane	!	( b0813  ||  b3824 )
HOMtex	!	HOM_L_E  <-> HOM_L_P	!	L-homoserine transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
HOPNTAL	!	4H2OPNTN -> ACALD + PYR	!	4-hydroxy-2-oxopentanoate aldolase	!	Cytosol	!	Alternate Carbon Metabolism	!	b0352
HPPK2	!	6HMHPT + ATP -> 6HMHPTPP + AMP + H	!	6-hydroxymethyl-dihydropterin pyrophosphokinase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0142
HPPPNDO	!	DHPPPN + O2 -> H + HKNDD	!	2,3-dihydroxypheylpropionate 1,2-dioxygenase	!	Cytosol	!	Alternate Carbon Metabolism	!	b0348
HPPPNt2rpp	!	3HPPPN_P  + H_P  <-> 3HPPPN_C  + H_C	!	3-(3-hydroxyphenyl)propionate transport via proton symport, reversible (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b0353
HPPPNtex	!	3HPPPN_E  <-> 3HPPPN_P	!	3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
HPYRI	!	HPYR <-> 2H3OPPAN	!	hydroxypyruvate isomerase	!	Cytosol	!	Alternate Carbon Metabolism	!	b0508
HPYRRx	!	H + HPYR + NADH -> GLYC_R + NAD	!	Hydroxypyruvate reductase (NADH)	!	Cytosol	!	Alternate Carbon Metabolism	!	( b1033  ||  b3553 )
HPYRRy	!	H + HPYR + NADPH -> GLYC_R + NADP	!	Hydroxypyruvate reductase (NADPH)	!	Cytosol	!	Alternate Carbon Metabolism	!	( b1033  ||  b3553 )
HSDy	!	HOM_L + NADP <-> ASPSA + H + NADPH	!	homoserine dehydrogenase (NADPH)	!	Cytosol	!	Threonine and Lysine Metabolism	!	( b3940  ||  b0002 )
HSK	!	ATP + HOM_L -> ADP + H + PHOM	!	homoserine kinase	!	Cytosol	!	Threonine and Lysine Metabolism	!	b0003
HSST	!	HOM_L + SUCCOA -> COA + SUCHMS	!	homoserine O-succinyltransferase	!	Cytosol	!	Methionine Metabolism	!	b4013
HSTPT	!	GLU_L + IMACP -> AKG + HISP	!	histidinol-phosphate transaminase	!	Cytosol	!	Histidine Metabolism	!	b2021
Htex	!	H_E  <-> H_P	!	proton transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0929  ||  b1377  ||  b2215  ||  b0241 )
HXAND	!	H2O + HXAN + NAD -> H + NADH + XAN	!	hypoxanthine dehydrogenase	!	Cytosol	!	Nucleotide Salvage Pathway	!	( b2866  &&  b2867  &&  b2868 )
HXAtex	!	HXA_E  <-> HXA_P	!	Hexanoate transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
HXCT	!	ACCOA + HXA -> AC + HXCOA	!	Acetyl-CoA:hexanoate-CoA transferase	!	Cytosol	!	Alternate Carbon Metabolism	!	( b2221  &&  b2222 )
HXPRT	!	HXAN + PRPP -> IMP + PPI	!	hypoxanthine phosphoribosyltransferase (Hypoxanthine)	!	Cytosol	!	Nucleotide Salvage Pathway	!	( b0238  ||  b0125 )
HYD1pp	!	2* H_C  + H2_C  + Q8_C  -> 2* H_P  + Q8H2_C	!	hydrogenase (ubiquinone-8: 2 protons) (periplasm)	!	Intercompartmental	!	Oxidative Phosphorylation	!	( ( b0972  &&  b0973  &&  b0974 )  ||  ( b2994  &&  b2997 )  ||  ( b2719  &&  b2720  &&  b2721  &&  b2722  &&  b2723  &&  b2724 ) )
HYD2pp	!	2* H_C  + H2_C  + MQN8_C  -> 2* H_P  + MQL8_C	!	Hydrogenase (menaquinone8: 2 protons) (periplasm)	!	Intercompartmental	!	Oxidative Phosphorylation	!	( ( b0972  &&  b0973  &&  b0974 )  ||  ( b2994  &&  b2997 ) )
HYD3pp	!	2DMMQ8_C  + 2* H_C  + H2_C  -> 2DMMQL8_C  + 2* H_P	!	Hydrogenase (Demethylmenaquinone-8: 2 protons) (periplasm)	!	Intercompartmental	!	Oxidative Phosphorylation	!	( ( b0972  &&  b0973  &&  b0974 )  ||  ( b2994  &&  b2997 ) )
HYPOE	!	H2O + PYAM5P -> PI + PYDAM	!	hypothetical enyme	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	Unknown
HYXNtex	!	HXAN_E  <-> HXAN_P	!	Hypoxanthine transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
HYXNtpp	!	HXAN_P  <-> HXAN_C	!	Hypoxanthine transport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	Unknown
ICDHyr	!	ICIT + NADP <-> AKG + CO2 + NADPH	!	isocitrate dehydrogenase (NADP)	!	Cytosol	!	Citric Acid Cycle	!	b1136
ICHORS	!	CHOR <-> ICHOR	!	isochorismate synthase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b2265
ICHORSi	!	CHOR -> ICHOR	!	Isochorismate Synthase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0593
ICHORT	!	H2O + ICHOR -> 23DDHB + PYR	!	isochorismatase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0595
ICL	!	ICIT -> GLX + SUCC	!	Isocitrate lyase	!	Cytosol	!	Anaplerotic Reactions	!	b4015
IDOND	!	5DGLCN + H + NADH <-> IDON_L + NAD	!	L-idonate 5-dehydrogenase	!	Cytosol	!	Alternate Carbon Metabolism	!	b4267
IDOND2	!	5DGLCN + H + NADPH -> IDON_L + NADP	!	L-indonate 5-dehydrogenase (NADP)	!	Cytosol	!	Alternate Carbon Metabolism	!	b4267
IDONt2rpp	!	H_P  + IDON_L_P  <-> H_C  + IDON_L_C	!	L-idonate transport via proton symport, reversible (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b4265
IDONtex	!	IDON_L_E  <-> IDON_L_P	!	L-idonate transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
IG3PS	!	GLN_L + PRLP -> AICAR + EIG3P + GLU_L + H	!	Imidazole-glycerol-3-phosphate synthase	!	Cytosol	!	Histidine Metabolism	!	( b2023  &&  b2025 )
IGPDH	!	EIG3P -> H2O + IMACP	!	imidazoleglycerol-phosphate dehydratase	!	Cytosol	!	Histidine Metabolism	!	b2022
IGPS	!	2CPR5P + H -> 3IG3P + CO2 + H2O	!	indole-3-glycerol-phosphate synthase	!	Cytosol	!	Tyrosine, Tryptophan, and Phenylalanine Metabolism	!	b1262
ILEabcpp	!	ATP_C  + H2O_C  + ILE_L_P  -> ADP_C  + H_C  + ILE_L_C  + PI_C	!	L-isoleucine transport via ABC system (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	( b3454  &&  b3455  &&  b3457  &&  b3460  &&  b3456 )
ILEt2rpp	!	H_P  + ILE_L_P  <-> H_C  + ILE_L_C	!	L-isoleucine reversible transport via proton symport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b0401
ILETA	!	AKG + ILE_L <-> 3MOP + GLU_L	!	isoleucine transaminase	!	Cytosol	!	Valine, Leucine, and Isoleucine Metabolism	!	b3770
ILEtex	!	ILE_L_E  <-> ILE_L_P	!	L-isoleucine transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
ILETRS	!	ATP + ILE_L + TRNAILE -> AMP + ILETRNA + PPI	!	Isoleucyl-tRNA synthetase	!	Cytosol	!	tRNA Charging	!	b0026
IMPC	!	H2O + IMP <-> FPRICA	!	IMP cyclohydrolase	!	Cytosol	!	Purine and Pyrimidine Biosynthesis	!	b4006
IMPD	!	H2O + IMP + NAD -> H + NADH + XMP	!	IMP dehydrogenase	!	Cytosol	!	Purine and Pyrimidine Biosynthesis	!	b2508
IMPtex	!	IMP_E  <-> IMP_P	!	IMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
INDOLEt2pp	!	H_C  + INDOLE_C  -> H_P  + INDOLE_P	!	Indole transport via proton symport, irreversible (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	( b3265  &&  b3266 )
INDOLEt2rpp	!	H_P  + INDOLE_P  <-> H_C  + INDOLE_C	!	Indole transport via proton symport, reversible (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b3161
INDOLEtex	!	INDOLE_E  <-> INDOLE_P	!	Indole transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
INOSTt4pp	!	INOST_P  + NA1_P  -> INOST_C  + NA1_C	!	Na+/myo-inositol symporter (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b3679
INSH	!	H2O + INS -> HXAN + RIB_D	!	Inosine hydrolase	!	Cytosol	!	Nucleotide Salvage Pathway	!	b0030
INSK	!	ATP + INS -> ADP + H + IMP	!	insosine kinase	!	Cytosol	!	Nucleotide Salvage Pathway	!	b0477
INSt2pp	!	H_P  + INS_P  -> H_C  + INS_C	!	inosine transport in via proton symport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2964
INSt2rpp	!	H_P  + INS_P  <-> H_C  + INS_C	!	inosine transport in via proton symport, reversible (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2406
INStex	!	INS_E  <-> INS_P	!	inosine transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane	!	b0411
INSTtex	!	INOST_E  <-> INOST_P	!	inositol transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
IPDDI	!	IPDP <-> DMPP	!	isopentenyl-diphosphate D-isomerase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b2889
IPDPS	!	H + H2MB4P + NADH -> H2O + IPDP + NAD	!	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp)	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0029
IPMD	!	3C2HMP + NAD -> 3C4MOP + H + NADH	!	3-isopropylmalate dehydrogenase	!	Cytosol	!	Valine, Leucine, and Isoleucine Metabolism	!	b0073
IPPMIa	!	3C2HMP <-> 2IPPM + H2O	!	3-isopropylmalate dehydratase	!	Cytosol	!	Valine, Leucine, and Isoleucine Metabolism	!	( b0071  &&  b0072 )
IPPMIb	!	2IPPM + H2O <-> 3C3HMP	!	2-isopropylmalate hydratase	!	Cytosol	!	Valine, Leucine, and Isoleucine Metabolism	!	( b0071  &&  b0072 )
IPPS	!	3MOB + ACCOA + H2O -> 3C3HMP + COA + H	!	2-isopropylmalate synthase	!	Cytosol	!	Valine, Leucine, and Isoleucine Metabolism	!	b0074
ISETACabcpp	!	ATP_C  + H2O_C  + ISETAC_P  -> ADP_C  + H_C  + ISETAC_C  + PI_C	!	isethionate transport via ABC system (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	( ( b0365  &&  b0366  &&  b0367 )  ||  ( b0936  &&  b0933  &&  b0934 ) )
ISETACtex	!	ISETAC_E  <-> ISETAC_P	!	isethionate transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
K2L4Aabcpp	!	ATP_C  + H2O_C  + KDO2LIPID4_C  -> ADP_C  + H_C  + KDO2LIPID4_P  + PI_C	!	KDO(2)-lipid IV A transport via ABC system (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b0914
K2L4Atex	!	KDO2LIPID4_P  -> KDO2LIPID4_E	!	KDO(2)-lipid IV A transport via vector (periplasm to extracellular)	!	Intercompartmental	!	Transport, Outer Membrane	!	Unknown
Kabcpp	!	ATP_C  + H2O_C  + K_P  -> ADP_C  + H_C  + K_C  + PI_C	!	Potassium ABC transporter (periplasm)	!	Intercompartmental	!	Inorganic Ion Transport and Metabolism	!	( b0698  &&  b0697  &&  b0696 )
KARA1	!	23DHMB + NADP <-> ALAC_S + H + NADPH	!	ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)	!	Cytosol	!	Valine, Leucine, and Isoleucine Metabolism	!	b3774
KARA2	!	2AHBUT + H + NADPH <-> 23DHMP + NADP	!	ketol-acid reductoisomerase (2-Acetolactate)	!	Cytosol	!	Valine, Leucine, and Isoleucine Metabolism	!	b3774
KAS14	!	ACACP + H + MALACP -> ACP + ACTACP + CO2	!	beta-ketoacyl-ACP synthase	!	Cytosol	!	Membrane Lipid Metabolism	!	( b2323  ||  b1095 )
KAS15	!	ACCOA + H + MALACP -> ACTACP + CO2 + COA	!	beta-ketoacyl-ACP synthase (2)	!	Cytosol	!	Membrane Lipid Metabolism	!	b1091
KAT1	!	AACOA + COA -> 2* ACCOA	!	3-ketoacyl-CoA thiolase	!	Cytosol	!	Membrane Lipid Metabolism	!	( b3845  ||  b2342 )
KAT2	!	3OHCOA + COA -> ACCOA + BTCOA	!	3-ketoacyl-CoA thiolase	!	Cytosol	!	Membrane Lipid Metabolism	!	( b3845  ||  b2342 )
KAT3	!	3OOCOA + COA -> ACCOA + HXCOA	!	3-ketoacyl-CoA thiolase	!	Cytosol	!	Membrane Lipid Metabolism	!	( b3845  ||  b2342 )
KAT4	!	3ODCOA + COA -> ACCOA + OCCOA	!	3-ketoacyl-CoA thiolase	!	Cytosol	!	Membrane Lipid Metabolism	!	( b3845  ||  b2342 )
KAT5	!	3ODDCOA + COA -> ACCOA + DCACOA	!	3-ketoacyl-CoA thiolase	!	Cytosol	!	Membrane Lipid Metabolism	!	( b3845  ||  b2342 )
KAT6	!	3OTDCOA + COA -> ACCOA + DDCACOA	!	3-ketoacyl-CoA thiolase	!	Cytosol	!	Membrane Lipid Metabolism	!	( b3845  ||  b2342 )
KAT7	!	3OHDCOA + COA -> ACCOA + TDCOA	!	3-ketoacyl-CoA thiolase	!	Cytosol	!	Membrane Lipid Metabolism	!	( b3845  ||  b2342 )
KAT8	!	3OODCOA + COA -> ACCOA + PMTCOA	!	3-ketoacyl-CoA thiolase	!	Cytosol	!	Membrane Lipid Metabolism	!	( b3845  ||  b2342 )
KDOCT2	!	CTP + KDO -> CKDO + PPI	!	3-deoxy-manno-octulosonate cytidylyltransferase	!	Cytosol	!	Lipopolysaccharide Biosynthesis / Recycling	!	b0918
KDOPP	!	H2O + KDO8P -> KDO + PI	!	3-deoxy-manno-octulosonate-8-phosphatase	!	Cytosol	!	Lipopolysaccharide Biosynthesis / Recycling	!	b3198
KDOPS	!	ARA5P + H2O + PEP -> KDO8P + PI	!	3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase	!	Cytosol	!	Lipopolysaccharide Biosynthesis / Recycling	!	b1215
KG6PDC	!	3DHGULNP + H -> CO2 + XU5P_L	!	3-keto-L-gulonate 6-phosphate decarboxylase	!	Cytosol	!	Alternate Carbon Metabolism	!	( b4196  ||  b3581 )
Kt2pp	!	H_P  + K_P  -> H_C  + K_C	!	potassium transport in via proton symport (periplasm)	!	Intercompartmental	!	Inorganic Ion Transport and Metabolism	!	( b1250  ||  ( b1291  &&  b3290  &&  b1363 )  ||  b3747  ||  ( b1291  &&  b3290  &&  b3849 ) )
Kt3pp	!	H_P  + K_C  -> H_C  + K_P	!	potassium transport out via proton antiport (periplasm)	!	Intercompartmental	!	Inorganic Ion Transport and Metabolism	!	( b1216  ||  b0842  ||  b3350  ||  b0047 )
Ktex	!	K_E  <-> K_P	!	potassium transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
LA4NTpp	!	COLIPA + ULA4N -> ACOLIPA + UDCPP	!	4-amino-4-deoxy-L-arabinotransferase (LPS lipid A modification, periplasmic face of membrane))	!	Periplasmic space	!	Lipopolysaccharide Biosynthesis / Recycling	!	b2257
LACZ	!	H2O + LCTS -> GAL + GLC_D	!	b-galactosidase	!	Cytosol	!	Alternate Carbon Metabolism	!	b0344
LACZpp	!	H2O + LCTS -> GAL + GLC_D	!	b-galactosidase	!	Periplasmic space	!	Alternate Carbon Metabolism	!	b2132
LADGMDH	!	LALADGLUMDAP + H2O -> 26DAP_M + LALADGLU	!	L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase	!	Cytosol	!	Murein Recycling	!	b1326
LALDO2x	!	H + MTHGXL + NADH -> LALD_D + NAD	!	D-Lactaldehyde:NAD+ 1-oxidoreductase	!	Cytosol	!	Methylglyoxal Metabolism	!	b3945
LALGP	!	LALALGLU + H2O -> ALA_L + GLU_L	!	L-alanyl-gamma-L-glutamate peptidase	!	Cytosol	!	Murein Recycling	!	b0237
LCADi	!	H2O + LALD_L + NAD -> 2* H + LAC_L + NADH	!	lactaldehyde dehydrogenase	!	Cytosol	!	Alternate Carbon Metabolism	!	b1415
LCARR	!	H + LALD_D + NADH <-> 12PPD_R + NAD	!	lacaldehyde reductase (R-propane-1,2-diol forming)	!	Cytosol	!	Methylglyoxal Metabolism	!	Unknown
LCARS	!	H + LALD_L + NADH <-> 12PPD_S + NAD	!	lacaldehyde reductase (S-propane-1,2-diol forming)	!	Cytosol	!	Alternate Carbon Metabolism	!	b2799
LCTSt3ipp	!	H_P  + LCTS_C  -> H_C  + LCTS_P	!	Lactose transport via proton aniport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	( b2170  ||  b0070  ||  b1528 )
LCTStex	!	LCTS_E  <-> LCTS_P	!	Lactose transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
LCTStpp	!	H_P  + LCTS_P  <-> H_C  + LCTS_C	!	Lactose transport via proton symport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b0343
LDH_D	!	LAC_D + NAD <-> H + NADH + PYR	!	D-lactate dehydrogenase	!	Cytosol	!	Pyruvate Metabolism	!	( b2133  ||  b1380 )
LDH_D2	!	LAC_D + Q8 -> PYR + Q8H2	!	D-lactate dehydrogenase	!	Cytosol	!	Oxidative Phosphorylation	!	b2133
LEUabcpp	!	ATP_C  + H2O_C  + LEU_L_P  -> ADP_C  + H_C  + LEU_L_C  + PI_C	!	L-leucine transport via ABC system (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	( ( b3454  &&  b3455  &&  b3457  &&  b3458  &&  b3456 )  ||  ( b3454  &&  b3455  &&  b3457  &&  b3460  &&  b3456 ) )
LEUt2rpp	!	H_P  + LEU_L_P  <-> H_C  + LEU_L_C	!	L-leucine reversible transport via proton symport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b0401
LEUTAi	!	4MOP + GLU_L -> AKG + LEU_L	!	leucine transaminase (irreversible)	!	Cytosol	!	Valine, Leucine, and Isoleucine Metabolism	!	( b3770  ||  b4054 )
LEUtex	!	LEU_L_E  <-> LEU_L_P	!	L-leucine transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
LEUTRS	!	ATP + LEU_L + TRNALEU -> AMP + LEUTRNA + PPI	!	Leucyl-tRNA synthetase	!	Cytosol	!	tRNA Charging	!	b0642
LGTHL	!	GTHRD + MTHGXL -> LGT_S	!	lactoylglutathione lyase	!	Cytosol	!	Methylglyoxal Metabolism	!	b1651
LIPAabcpp	!	ATP_C  + H2O_C  + LIPA_C  -> ADP_C  + H_C  + LIPA_P  + PI_C	!	lipid A transport via ABC system (periplasm)	!	Intercompartmental	!	Lipopolysaccharide Biosynthesis / Recycling	!	b0914
LIPACabcpp	!	ATP_C  + H2O_C  + LIPA_COLD_C  -> ADP_C  + H_C  + LIPA_COLD_P  + PI_C	!	lipid (cold) A transport via ABC system (periplasm)	!	Intercompartmental	!	Lipopolysaccharide Biosynthesis / Recycling	!	b0914
LIPAHT2ex	!	COLIPA + H + HDCA -> H2O + HACOLIPA	!	core oligosaccharide lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)	!	Extracellular space	!	Lipopolysaccharide Biosynthesis / Recycling	!	b0622
LIPAHTex	!	H + HDCA + LIPA -> H2O + HALIPA	!	Lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)	!	Extracellular space	!	Lipopolysaccharide Biosynthesis / Recycling	!	b0622
LIPAtex	!	LIPA_P  -> LIPA_E	!	lipid A transport via vector (periplasm to extracellular)	!	Intercompartmental	!	Lipopolysaccharide Biosynthesis / Recycling	!	Unknown
L_LACD2	!	LAC_L + Q8 -> PYR + Q8H2	!	L-Lactate dehydrogenase (ubiquinone)	!	Cytosol	!	Oxidative Phosphorylation	!	b3605
L_LACD3	!	LAC_L + MQN8 -> MQL8 + PYR	!	L-Lactate dehydrogenase (menaquinone)	!	Cytosol	!	Oxidative Phosphorylation	!	b3605
L_LACt2rpp	!	H_P  + LAC_L_P  <-> H_C  + LAC_L_C	!	L-lactate reversible transport via proton symport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	( b3603  ||  b2975 )
L_LACtex	!	LAC_L_E  <-> LAC_L_P	!	L-lactate transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
LPADSS	!	LIPIDX + U23GA -> H + LIPIDADS + UDP	!	Lipid A disaccaride synthase	!	Cytosol	!	Lipopolysaccharide Biosynthesis / Recycling	!	b0182
LPLIPAL1A120pp	!	1DDECG3P + H2O -> DDCA + GLYC3P + H	!	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C12:0) (periplasm)	!	Periplasmic space	!	Glycerophospholipid Metabolism	!	b0494
LPLIPAL1A140pp	!	1TDECG3P + H2O -> GLYC3P + H + TTDCA	!	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:0) (periplasm)	!	Periplasmic space	!	Glycerophospholipid Metabolism	!	b0494
LPLIPAL1A141pp	!	1TDEC7EG3P + H2O -> GLYC3P + H + TTDCEA	!	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm)	!	Periplasmic space	!	Glycerophospholipid Metabolism	!	b0494
LPLIPAL1A160pp	!	1HDECG3P + H2O -> GLYC3P + H + HDCA	!	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm)	!	Periplasmic space	!	Glycerophospholipid Metabolism	!	b0494
LPLIPAL1A161pp	!	1HDEC9EG3P + H2O -> GLYC3P + H + HDCEA	!	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)	!	Periplasmic space	!	Glycerophospholipid Metabolism	!	b0494
LPLIPAL1A180pp	!	1ODECG3P + H2O -> GLYC3P + H + OCDCA	!	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:0) (periplasm)	!	Periplasmic space	!	Glycerophospholipid Metabolism	!	b0494
LPLIPAL1A181pp	!	1ODEC11EG3P + H2O -> GLYC3P + H + OCDCEA	!	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:1) (periplasm)	!	Periplasmic space	!	Glycerophospholipid Metabolism	!	b0494
LPLIPAL1E120pp	!	1AGPE120 + H2O -> DDCA + G3PE + H	!	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C12:0) (periplasm)	!	Periplasmic space	!	Glycerophospholipid Metabolism	!	b0494
